Gridworld_ID,Algorithm,Runtime_Seconds,Expanded_Nodes,Success
0,AdaptiveAStar,2.042354749981314,82861,True
0,HigherG_RepeatedAStar,15.213492209033575,471419,True
0,LowerG_RepeatedAStar,6.007621750002727,471419,True
0,RepeatedBackwardsAStar,1.5911477499757893,89531,True
0,RepeatedForwardAStar,0.03584141697501764,3346,True
1,AdaptiveAStar,0.5166529159760103,14656,True
1,HigherG_RepeatedAStar,5.386217374994885,174333,True
1,LowerG_RepeatedAStar,1.8913891250267625,174333,True
1,RepeatedBackwardsAStar,1.5587720830226317,81784,True
1,RepeatedForwardAStar,0.026341874967329204,2238,True
2,AdaptiveAStar,0.8646449170191772,37359,True
2,HigherG_RepeatedAStar,3.938434708979912,103319,True
2,LowerG_RepeatedAStar,1.3692076670122333,103319,True
2,RepeatedBackwardsAStar,1.0993312080390751,68621,True
2,RepeatedForwardAStar,0.017913208983372897,1649,True
3,AdaptiveAStar,0.06854983401717618,1504,True
3,HigherG_RepeatedAStar,0.13626683299662545,3741,True
3,LowerG_RepeatedAStar,0.08224883396178484,3741,True
3,RepeatedBackwardsAStar,0.0496994589921087,664,True
3,RepeatedForwardAStar,0.002699167001992464,235,True
4,AdaptiveAStar,0.39569270802894607,13157,True
4,HigherG_RepeatedAStar,1.2191684169811197,37704,True
4,LowerG_RepeatedAStar,0.5663450839929283,37704,True
4,RepeatedBackwardsAStar,0.3408620410482399,16374,True
4,RepeatedForwardAStar,0.01353987498441711,1311,True
5,AdaptiveAStar,0.6505879170144908,24146,True
5,HigherG_RepeatedAStar,3.033569334016647,109096,True
5,LowerG_RepeatedAStar,1.1887948749936186,109096,True
5,RepeatedBackwardsAStar,0.20825324999168515,4579,True
5,RepeatedForwardAStar,0.04025187500519678,3523,True
6,AdaptiveAStar,0.15495058300439268,3153,True
6,HigherG_RepeatedAStar,2.273752291977871,80216,True
6,LowerG_RepeatedAStar,0.9510131669812836,80216,True
6,RepeatedBackwardsAStar,0.2825385000323877,7864,True
6,RepeatedForwardAStar,0.03019720799056813,2989,True
7,AdaptiveAStar,1.0773120409576222,50822,True
7,HigherG_RepeatedAStar,3.453022792004049,115002,True
7,LowerG_RepeatedAStar,1.923490666958969,115002,True
7,RepeatedBackwardsAStar,1.3027310830075294,87558,True
7,RepeatedForwardAStar,0.03653741697780788,3167,True
8,AdaptiveAStar,0.13981420797063038,3285,True
8,HigherG_RepeatedAStar,0.42000991600798443,12227,True
8,LowerG_RepeatedAStar,0.22978887503268197,12227,True
8,RepeatedBackwardsAStar,0.17286558396881446,5255,True
8,RepeatedForwardAStar,0.007588959007989615,703,True
9,AdaptiveAStar,0.23977145896060392,5587,True
9,HigherG_RepeatedAStar,1.5148212089552544,49433,True
9,LowerG_RepeatedAStar,0.7149407499819063,49433,True
9,RepeatedBackwardsAStar,0.9175742079969496,55256,True
9,RepeatedForwardAStar,0.023604665999300778,2305,True
10,AdaptiveAStar,0.11800933297490701,1911,True
10,HigherG_RepeatedAStar,0.5846194999758154,15279,True
10,LowerG_RepeatedAStar,0.3551768329925835,15279,True
10,RepeatedBackwardsAStar,0.18329658400034532,3919,True
10,RepeatedForwardAStar,0.0070379169774241745,576,True
11,AdaptiveAStar,0.4445935420226306,12858,True
11,HigherG_RepeatedAStar,2.8048169999965467,60011,True
11,LowerG_RepeatedAStar,1.032949166954495,60011,True
11,RepeatedBackwardsAStar,0.6916729169897735,40383,True
11,RepeatedForwardAStar,0.01874766603577882,1628,True
12,AdaptiveAStar,0.06933875003596768,863,True
12,HigherG_RepeatedAStar,0.10176854202290997,1952,True
12,LowerG_RepeatedAStar,0.07323649997124448,1952,True
12,RepeatedBackwardsAStar,0.05947245901916176,1218,True
12,RepeatedForwardAStar,0.0026247079949826,255,True
13,AdaptiveAStar,2.2562987499986775,117317,False
13,HigherG_RepeatedAStar,13.366993292002007,364604,False
13,LowerG_RepeatedAStar,4.048797749972437,364604,False
13,RepeatedBackwardsAStar,0.003500165999867022,1,False
13,RepeatedForwardAStar,0.13408070901641622,12541,False
14,AdaptiveAStar,0.20980383298592642,4141,True
14,HigherG_RepeatedAStar,0.3727935000206344,10251,True
14,LowerG_RepeatedAStar,0.22248383302940056,10251,True
14,RepeatedBackwardsAStar,0.14197629201225936,4775,True
14,RepeatedForwardAStar,0.004456957976799458,358,True
15,AdaptiveAStar,0.22019612498115748,4668,True
15,HigherG_RepeatedAStar,1.1242850000271574,38334,True
15,LowerG_RepeatedAStar,0.5190033750259317,38334,True
15,RepeatedBackwardsAStar,0.3910662090056576,13803,True
15,RepeatedForwardAStar,0.015725249948445708,1163,True
16,AdaptiveAStar,0.08935654198285192,1639,True
16,HigherG_RepeatedAStar,0.373994458001107,7180,True
16,LowerG_RepeatedAStar,0.45783133298391476,7180,True
16,RepeatedBackwardsAStar,0.3360474589862861,3979,True
16,RepeatedForwardAStar,0.00573491700924933,318,True
17,AdaptiveAStar,0.6279297500150278,14313,True
17,HigherG_RepeatedAStar,0.7880989169934765,16569,True
17,LowerG_RepeatedAStar,0.2747366249677725,16569,True
17,RepeatedBackwardsAStar,0.3042654169839807,12059,True
17,RepeatedForwardAStar,0.011815750040113926,962,True
18,AdaptiveAStar,0.8962521670036949,36247,True
18,HigherG_RepeatedAStar,4.428653624956496,146117,True
18,LowerG_RepeatedAStar,1.6395987499854527,146117,True
18,RepeatedBackwardsAStar,2.9324651249917224,212450,True
18,RepeatedForwardAStar,0.03447300003608689,2986,True
19,AdaptiveAStar,0.2954249160247855,9233,True
19,HigherG_RepeatedAStar,0.6634414999862202,17713,True
19,LowerG_RepeatedAStar,0.31256575003499165,17713,True
19,RepeatedBackwardsAStar,0.06381525000324473,1255,True
19,RepeatedForwardAStar,0.01872520800679922,1868,True
20,AdaptiveAStar,0.1542279999703169,4106,True
20,HigherG_RepeatedAStar,0.5637622909853235,12583,True
20,LowerG_RepeatedAStar,0.4536342089995742,12583,True
